CanBeHeldInAPension__c,CanBeHeldInTrust__c,CanProvideIncome__c,Category__c,DescriptionCustomer__c,DescriptionInternal__c,DeveloperName__c,DisplayInPortal__c,HasAnnualEarnings__c,HasAPurchaseValue__c,HasRelatedLiability__c,HasRetainedEarnings__c,Id,Name,NeedsFurtherDescription__c,SortOrder__c
Never,Mandatory,Ask if we need it,Objects,,Any art that you own with significant value.,ART,,Never,Optional,Optional,Never,a0uQz000002C08FIAS,Art,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any gold that you own with significant value.,GOLD,,Never,Optional,Optional,Never,a0uQz000002C08GIAS,Gold,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any jewellery that you own with significant value.,JEWELLERY,,Never,Optional,Optional,Never,a0uQz000002C08HIAS,Jewellery,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any watch that you own with significant value.,WATCH,,Never,Optional,Optional,Never,a0uQz000002C08IIAS,Watch,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any wine that you own with significant value.,WINE,,Never,Optional,Optional,Never,a0uQz000002C08JIAS,Wine,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any private collection that you own with significant value.,COLLECTION,,Never,Optional,Optional,Never,a0uQz000002C08KIAS,Collection,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any antique that you own with significant value.,ANTIQUE,,Never,Optional,Optional,Never,a0uQz000002C08LIAS,Antique,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any whiskey that you own with significant value.,WHISKEY,,Never,Optional,Optional,Never,a0uQz000002C08MIAS,Whiskey,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any instrument that you own with significant value.,MUSICAL_INSTRUMENT,,Never,Optional,Optional,Never,a0uQz000002C08NIAS,Musical instrument,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any tech / gadgets that you own with significant value.,TECHNOLOGY,,Never,Optional,Optional,Never,a0uQz000002C08OIAS,Tech,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any other item which has signifcant value.,OTHER_VALUABLE_OBJECT,,Never,Optional,Optional,Never,a0uQz000002C08PIAS,Other valuable object,Optional,
Mandatory,Mandatory,Ask if we need it,Objects,,Any foreign currency which you hold in the UK or abroad.,FOREIGN_CURRENCY,,Never,Optional,Optional,Never,a0uQz000002C08QIAS,Foreign Currency,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any cryptocurrency which you own.,CRYPTOCURRENCY,,Never,Optional,Optional,Never,a0uQz000002C08RIAS,Cryptocurrency,Optional,
Never,Mandatory,Ask if we need it,Objects,,"Any crypto assets aside from cryptocurrency, e.g. NFTs",CRYPTO_ASSETS,,Never,Optional,Optional,Never,a0uQz000002C08SIAS,Crypto assets,Optional,
Mandatory,Never,Ask if we need it,Loan,,Any loans you have personally made to individuals or businesses of significant value.,FAMILY_LOAN,,Never,Never,Never,Never,a0uQz000002C08TIAS,Family loan,Optional,
